Gene_ID,adj.P.Val,P.Value,t,B,logFC,ORGANISM,ORF
11078,0.018543148,5.27E-05,-5.256894235,1.430631409,-4.579376983,Homo sapiens,Mirn365
13139,0.343474345,0.001951559,-3.618892654,-1.197639606,-2.781366873,Homo sapiens,let-7e
11132,0.778018044,0.007651058,3.000438025,-2.428685488,1.976616837,Homo sapiens,Mirn500
11118,0.778018044,0.010933813,2.835568073,-2.74428037,2.322401528,Homo sapiens,Mirn485
10987,0.778018044,0.011290561,-2.82063987,-2.772575673,-2.469103433,Homo sapiens,Mirn193b
11271,0.778018044,0.01507605,-2.685324322,-2.954750399,-3.81403617,Rattus norvegicus,Mirn349
10914,0.778018044,0.032457143,-2.31665003,-3.600963861,-2.850907371,Homo sapiens,let-7d
11213,0.778018044,0.027215397,-2.402849069,-3.601632892,-1.759574865,Mus musculus,Mirn291
11008,0.778018044,0.029804228,2.358509579,-3.618721311,1.836708838,Homo sapiens,Mirn20a
11106,0.778018044,0.036942661,2.252608245,-3.708649334,2.017310874,Homo sapiens,Mirn423
10997,0.778018044,0.037986647,2.238738764,-3.8264667,1.634601593,Homo sapiens,Mirn19a
11108,0.778018044,0.040058056,2.212229459,-3.871677767,2.201755339,Homo sapiens,Mirn425
11070,0.778018044,0.046821683,-2.133659531,-3.904417928,-3.89455079,Homo sapiens,Mirn345
10973,0.778018044,0.051301377,2.087146921,-3.979369488,2.164564084,Homo sapiens,Mirn181c
11015,0.778018044,0.045605726,2.146984122,-3.981692146,1.87096284,Homo sapiens,Mirn215
11145,0.778018044,0.0486172,2.114549885,-4.035692187,1.99206311,Homo sapiens,Mirn512
10913,0.778018044,0.056629433,-2.036400767,-4.060055688,-1.572586241,Homo sapiens,let-7c
10980,0.778018044,0.053112952,2.069378784,-4.110106208,1.476208542,Homo sapiens,Mirn187
11114,0.778018044,0.063379572,1.977962663,-4.151508521,2.194895088,Homo sapiens,Mirn449
11096,0.778018044,0.060195355,2.004794316,-4.214841776,1.387990229,Homo sapiens,Mirn381
11039,0.778018044,0.070290998,1.92364399,-4.23505108,2.513216182,Homo sapiens,Mirn29a
11089,0.778018044,0.071007146,1.918291184,-4.24320519,2.175192549,Homo sapiens,Mirn376a
10936,0.778018044,0.066269147,1.954639229,-4.294776066,1.839586025,Homo sapiens,Mirn130b
11014,0.778018044,0.066639757,1.951713893,-4.299399406,2.170552588,Homo sapiens,Mirn214
13171,0.778018044,0.061016443,-1.997755766,-4.341491725,-1.19395908,Homo sapiens,Mirn429
13169,0.778018044,0.070195678,1.924360105,-4.342419255,1.869634441,Mus musculus,let-7d*
11032,0.778018044,0.080449656,1.851853998,-4.34320272,1.844049735,Homo sapiens,Mirn27a
10912,0.778018044,0.08265009,-1.837366464,-4.36470548,-1.276123629,Homo sapiens,let-7b
11009,0.778018044,0.072355671,1.908340641,-4.367434139,1.51430721,Homo sapiens,Mirn20b
10928,0.778018044,0.075329629,1.886965078,-4.400603446,2.106085005,Homo sapiens,Mirn125a
10998,0.778018044,0.075516754,1.885645243,-4.402643575,1.710228221,Homo sapiens,Mirn19b
11128,0.778018044,0.080182774,1.853634778,-4.4518383,1.356500798,Homo sapiens,Mirn496
11054,0.778018044,0.080946827,-1.848550443,-4.459601208,-1.478876778,Homo sapiens,Mirn320
11129,0.778018044,0.094031126,1.767430014,-4.466927658,1.481876095,Homo sapiens,Mirn497
11048,0.778018044,0.100163415,1.732754292,-4.516615201,1.919109899,Homo sapiens,Mirn30a
11112,0.778018044,0.089865844,1.792121554,-4.544802904,1.300849879,Homo sapiens,Mirn433
11233,0.778018044,0.107836396,1.691862291,-4.574334903,1.589299982,Homo sapiens,Mirn34c
10948,0.778018044,0.111358816,1.673922436,-4.599352455,1.474721682,Homo sapiens,Mirn142
