Gene_ID,adj.P.Val,P.Value,t,logFC,ORGANISM,ORF
10942,0.449456718,0.002373836,-4.336078918,-0.249661698,Homo sapiens,Mirn135b
13182,0.449456718,0.003676024,4.021235191,0.463793811,Homo sapiens,Mirn486
14284,0.449456718,0.004730996,3.844146479,0.257992629,Homo sapiens,Mirn422b
11249,0.449456718,0.005173663,3.782106499,0.711289078,Mus musculus,Mirn463
10984,0.449456718,0.006587224,3.616381069,0.366399061,Homo sapiens,Mirn190
11250,0.449456718,0.007532794,3.525435967,0.430244778,Mus musculus,Mirn464
11006,0.544313059,0.013247712,-3.150097782,-0.48809098,Homo sapiens,Mirn205
11029,0.544313059,0.013603125,3.132758396,0.15003085,Homo sapiens,Mirn25
10950,0.544313059,0.013683848,3.128886197,0.571445564,Homo sapiens,Mirn144
11248,0.687903408,0.019396066,2.902263861,0.441247598,Homo sapiens,Mirn451
11094,0.687903408,0.021136697,2.846888698,0.231080327,Homo sapiens,Mirn380
13126,0.739184789,0.02698636,-2.690241578,-0.21957399,Homo sapiens,Mirn191*
10943,0.739184789,0.027276405,-2.683410062,-0.246994525,Homo sapiens,Mirn136
11147,0.739184789,0.030876878,-2.604292834,-0.237608719,Homo sapiens,Mirn514
11113,0.739184789,0.03097143,-2.60234418,-0.194394462,Homo sapiens,Mirn448
13170,0.762610131,0.034083134,-2.541377078,-0.13884177,Homo sapiens,Mirn380
11090,0.810950167,0.042865565,2.395651496,0.14576806,Homo sapiens,Mirn376b
11139,0.810950167,0.043239793,-2.39013074,-0.19721803,Homo sapiens,Mirn507
11254,0.810950167,0.044013742,2.378863505,0.157380054,Mus musculus,Mirn468
14314,0.810950167,0.045442855,2.358570233,0.141205669,Homo sapiens,Mirn505
11022,0.810950167,0.048137937,2.321979265,0.122445197,Homo sapiens,Mirn221
10966,0.810950167,0.051616004,2.277665318,0.154318055,Homo sapiens,Mirn15b
13176,0.810950167,0.053496914,2.254921959,0.185442459,Mus musculus,Mirn201
13129,0.810950167,0.054365374,-2.244687148,-0.135821424,Homo sapiens,Mirn452*
11047,0.824297157,0.057749724,-2.206289264,-0.097928096,Homo sapiens,Mirn30a
11255,0.824297157,0.059865157,2.183401018,0.412722513,Mus musculus,Mirn469
10971,0.849637691,0.06436849,-2.137217029,-0.125118026,Homo sapiens,Mirn181a
11074,0.849637691,0.075380588,-2.036405414,-0.11485761,Homo sapiens,Mirn34c
13128,0.849637691,0.078309345,-2.012007604,-0.16199007,Homo sapiens,Mirn432*
11021,0.849637691,0.080235353,-1.996439692,-0.112481767,Homo sapiens,Mirn220
11000,0.849637691,0.081306073,1.987940406,0.171691746,Homo sapiens,Mirn200a
11016,0.849637691,0.082532424,1.978337346,0.144204709,Homo sapiens,Mirn216
11160,0.849637691,0.0832283,1.972949174,0.309704201,Homo sapiens,Mirn518f
10973,0.849637691,0.091886799,-1.909300546,-0.334680778,Homo sapiens,Mirn181c
11224,0.849637691,0.093475305,-1.898250166,-0.109395578,Homo sapiens,Mirn30e
11237,0.849637691,0.095630538,1.88354021,0.099536204,Homo sapiens,Mirn376a
10933,0.849637691,0.096041984,-1.880767919,-0.108705237,Homo sapiens,Mirn128b
10932,0.849637691,0.100522313,-1.8512894,-0.10848119,Homo sapiens,Mirn128a
11019,0.849637691,0.101128755,-1.847395437,-0.156043077,Homo sapiens,Mirn219
11230,0.849637691,0.101724148,-1.843593872,-0.209488434,Mus musculus,Mirn344
14280,0.849637691,0.104276737,1.827530641,0.105623672,Homo sapiens,Mirn367
11111,0.849637691,0.107503484,-1.807748052,-0.144196054,Homo sapiens,Mirn432
11165,0.849637691,0.108734382,-1.800348748,-0.097449953,Homo sapiens,Mirn520a
11024,0.849637691,0.109124722,1.798018747,0.173308118,Homo sapiens,Mirn223
10970,0.849637691,0.112211459,1.77986451,0.182101815,Homo sapiens,Mirn18a
11114,0.849637691,0.113890799,-1.770183531,-0.184965685,Homo sapiens,Mirn449
11277,0.849637691,0.115982176,-1.758312388,-0.092903327,Rattus norvegicus,Mirn7*
10978,0.849637691,0.117361058,-1.7505945,-0.116132857,Homo sapiens,Mirn184
11068,0.849637691,0.118068166,1.746669448,0.142024101,Homo sapiens,Mirn339
11172,0.849637691,0.119245237,-1.740184069,-0.143484622,Homo sapiens,Mirn522
11080,0.849637691,0.122329854,1.72346728,0.162302329,Homo sapiens,Mirn368
11184,0.849637691,0.125378982,-1.707323494,-0.082988338,Homo sapiens,Mirn99b
11274,0.849637691,0.125784351,1.705204733,0.119929913,Rattus norvegicus,Mirn421
10945,0.912877779,0.137696648,1.645599268,0.163375433,Homo sapiens,Mirn139
10916,0.916847517,0.149086659,-1.592877381,-0.112683209,Homo sapiens,Mirn1
11103,0.916847517,0.156839574,1.559047543,0.109761099,Homo sapiens,Mirn412
11163,0.916847517,0.161036603,-1.541359064,-0.079163203,Homo sapiens,Mirn519d
11263,0.916847517,0.162374886,-1.535806004,-0.13101879,Homo sapiens,Mirn301
11218,0.916847517,0.169311751,-1.507663472,-0.106520371,Homo sapiens,Mirn520d
10976,0.916847517,0.172074652,-1.49674069,-0.239164151,Homo sapiens,Mirn182*
11017,0.916847517,0.172569047,1.494802663,0.141382038,Homo sapiens,Mirn217
11058,0.916847517,0.173318808,-1.491873011,-0.133572194,Homo sapiens,Mirn325
10972,0.916847517,0.175772519,-1.482363401,-0.096693489,Homo sapiens,Mirn181b
14301,0.916847517,0.178249694,-1.47288164,-0.092880157,Homo sapiens,Mirn361
11107,0.916847517,0.178599905,1.471550589,0.170856937,Homo sapiens,Mirn424
11118,0.916847517,0.181153978,-1.461912541,-0.141570034,Homo sapiens,Mirn485
11106,0.916847517,0.183636486,1.452658932,0.098549387,Homo sapiens,Mirn423
11174,0.916847517,0.190415106,-1.427941235,-0.19769387,Homo sapiens,Mirn525*
11201,0.916847517,0.195580578,1.409618605,0.097896129,Mus musculus,Mirn140*
11065,0.916847517,0.196415367,-1.406697274,-0.115128556,Homo sapiens,Mirn335
10986,0.916847517,0.197070145,1.404413459,0.111014198,Homo sapiens,Mirn193a
11044,0.916847517,0.197520614,-1.402846092,-0.098909397,Homo sapiens,Mirn302c
10988,0.916847517,0.203328723,1.38291091,0.070331507,Homo sapiens,Mirn194
11051,0.916847517,0.204803107,-1.377929104,-0.078369898,Homo sapiens,Mirn30d
11150,0.916847517,0.204939479,-1.377469887,-0.079148495,Homo sapiens,Mirn516
10314,0.916847517,0.206099564,-1.373574087,-0.188126382,Homo sapiens,Mirn202*
11225,0.916847517,0.211118132,1.356935913,0.15014415,Mus musculus,Mirn322
11104,0.916847517,0.212087992,-1.353759889,-0.132089782,Homo sapiens,Mirn422a
11152,0.916847517,0.221284359,-1.324248137,-0.072443052,Homo sapiens,Mirn517a
11169,0.916847517,0.221998605,-1.322000252,-0.132763745,Homo sapiens,Mirn520e
10941,0.916847517,0.228819807,-1.300837063,-0.247046189,Homo sapiens,Mirn135a
11175,0.916847517,0.230894673,-1.29450592,-0.071295851,Homo sapiens,Mirn525
10959,0.916847517,0.231977592,-1.291220659,-0.101633712,Homo sapiens,Mirn151
10962,0.916847517,0.235359197,-1.281044585,-0.059591092,Homo sapiens,Mirn154
7190,0.916847517,0.236483357,-1.277689017,-0.214114906,Homo sapiens,Mirn9
11053,0.916847517,0.24255556,1.259792263,0.230149482,Homo sapiens,Mirn32
11097,0.916847517,0.244567659,-1.253944807,-0.070739956,Homo sapiens,Mirn382
13127,0.916847517,0.2457643,-1.250486238,-0.159421522,Homo sapiens,Mirn200a*
10993,0.916847517,0.246625737,-1.248005186,-0.06316737,Homo sapiens,Mirn198
11155,0.916847517,0.247081399,-1.246695741,-0.083814993,Homo sapiens,Mirn518a
10928,0.916847517,0.247625094,-1.245135948,-0.060432356,Homo sapiens,Mirn125a
11245,0.916847517,0.248750628,-1.241915979,-0.074611382,Mus musculus,Mirn433
11066,0.916847517,0.250029213,1.238272844,0.099250999,Homo sapiens,Mirn337
11215,0.916847517,0.253076699,-1.229651555,-0.100001087,Homo sapiens,Mirn371
11078,0.916847517,0.253722834,1.227834733,0.093297705,Homo sapiens,Mirn365
11132,0.916847517,0.254719336,-1.225040243,-0.089171532,Homo sapiens,Mirn500
10936,0.916847517,0.258289777,-1.215101384,-0.061964362,Homo sapiens,Mirn130b
11171,0.916847517,0.265249311,-1.196049849,-0.073771612,Homo sapiens,Mirn521
11098,0.916847517,0.266182854,-1.193525652,-0.079848979,Homo sapiens,Mirn383
13140,0.916847517,0.26759365,-1.189724751,-0.094807329,Homo sapiens,Mirn138
10965,0.916847517,0.267973395,1.188704464,0.144946143,Homo sapiens,Mirn15a
11125,0.916847517,0.268045003,1.1885122,0.077829517,Homo sapiens,Mirn493
10981,0.916847517,0.270834215,-1.181055873,-0.070671949,Homo sapiens,Mirn188
11227,0.916847517,0.271237787,-1.179982216,-0.067356825,Homo sapiens,Mirn329
11268,0.916847517,0.272467431,-1.176718903,-0.076224064,Rattus norvegicus,Mirn344
11138,0.916847517,0.272656997,-1.17621689,-0.091895109,Homo sapiens,Mirn506
11062,0.916847517,0.274029844,1.172589734,0.284716398,Homo sapiens,Mirn33
11156,0.924908382,0.285577942,-1.142648689,-0.082364896,Homo sapiens,Mirn518b
11272,0.924908382,0.28625838,-1.140915226,-0.066109929,Rattus norvegicus,Mirn350
10925,0.924908382,0.287150729,-1.138646922,-0.096663833,Homo sapiens,Mirn10b
11141,0.924908382,0.287470531,1.137835384,0.080466793,Homo sapiens,Mirn509
11085,0.924908382,0.289356812,-1.1330634,-0.066811538,Homo sapiens,Mirn373
10930,0.933271769,0.301396397,1.103177995,0.127970261,Homo sapiens,Mirn126*
11056,0.933271769,0.306214536,-1.091483707,-0.073440087,Homo sapiens,Mirn324
10964,0.933271769,0.311240324,1.079439237,0.072460908,Homo sapiens,Mirn155
11120,0.933271769,0.312241352,1.077058541,0.086631453,Homo sapiens,Mirn488
11046,0.933271769,0.312796017,-1.07574199,-0.075895553,Homo sapiens,Mirn302d
11129,0.933271769,0.317658287,1.064278523,0.076328344,Homo sapiens,Mirn497
11232,0.933271769,0.323136755,-1.051525285,-0.075113407,Mus musculus,Mirn346
10931,0.933271769,0.323402653,-1.050910599,-0.056563881,Homo sapiens,Mirn127
13172,0.933271769,0.324997796,1.047231264,0.082914448,Homo sapiens,Mirn192
11072,0.933271769,0.3267009,1.04331833,0.053717255,Homo sapiens,Mirn34a
10918,0.933271769,0.32817358,1.039947511,0.16578207,Homo sapiens,Mirn101
11143,0.933271769,0.329454987,1.037024,0.098900996,Homo sapiens,Mirn511
11102,0.933271769,0.331112568,-1.033255244,-0.100041771,Homo sapiens,Mirn410
11148,0.933271769,0.333528878,-1.027787359,-0.076543369,Homo sapiens,Mirn515
10924,0.933271769,0.335257819,-1.023893595,-0.078094762,Homo sapiens,Mirn10a
10987,0.933271769,0.338224157,1.017248817,0.061095067,Homo sapiens,Mirn193b
11180,0.933271769,0.339919481,1.0134712,0.090025147,Homo sapiens,Mirn93
10939,0.933271769,0.34155656,-1.009837004,-0.054591203,Homo sapiens,Mirn133b
11108,0.933271769,0.341932223,-1.009004933,-0.083315823,Homo sapiens,Mirn425
10929,0.933271769,0.34622733,-0.999540669,-0.050419572,Homo sapiens,Mirn125b
10961,0.933271769,0.350312726,0.990620847,0.322130371,Homo sapiens,Mirn153
11112,0.933271769,0.350433476,-0.990358408,-0.082995152,Homo sapiens,Mirn433
10968,0.933271769,0.353576547,0.983551152,0.075511466,Homo sapiens,Mirn17
11011,0.933271769,0.356699801,-0.976831822,-0.069064646,Homo sapiens,Mirn211
11251,0.933271769,0.361222407,-0.96717978,-0.071053514,Mus musculus,Mirn465
10954,0.933271769,0.363154822,-0.963083214,-0.066088732,Homo sapiens,Mirn147
14281,0.933271769,0.364549878,0.960135903,0.097549723,Homo sapiens,Mirn369
10940,0.933271769,0.364966614,-0.959257104,-0.050978467,Homo sapiens,Mirn134
11002,0.936143178,0.373016998,-0.942425084,-0.140787263,Homo sapiens,Mirn200c
10956,0.936143178,0.379621705,-0.92881495,-0.138911193,Homo sapiens,Mirn148b
10935,0.936143178,0.381942521,-0.924073787,-0.043502957,Homo sapiens,Mirn130a
11142,0.936143178,0.38833262,-0.911127311,-0.054417013,Homo sapiens,Mirn510
11015,0.936143178,0.39200094,-0.903765031,-0.074572493,Homo sapiens,Mirn215
13181,0.936143178,0.393796211,-0.900180098,-0.059611177,Homo sapiens,Mirn484
13144,0.936143178,0.395197864,-0.897389363,-0.041958504,Homo sapiens,Mirn340
10991,0.936143178,0.395207721,-0.897369762,-0.20995569,Homo sapiens,Mirn196b
11173,0.936143178,0.396874044,0.894061381,0.203740425,Homo sapiens,Mirn523
11144,0.936143178,0.399480791,-0.888905821,-0.062641184,Homo sapiens,Mirn512
11067,0.936143178,0.400607399,0.886685114,0.061651431,Homo sapiens,Mirn338
11117,0.936143178,0.400934478,-0.88604123,-0.067088306,Homo sapiens,Mirn453
11262,0.936143178,0.403667418,0.880675839,0.046516757,Rattus norvegicus,Mirn297
5730,0.936143178,0.410796914,-0.866799793,-0.062304231,Homo sapiens,Mirn208
13149,0.936143178,0.413095308,-0.862362886,-0.052167586,Homo sapiens,Mirn372
10967,0.936143178,0.414846863,0.85899331,0.103978779,Homo sapiens,Mirn16
