Gene_ID,adj.P.Val,P.Value,t,logFC,Gene_symbol
ILMN_1763852,0.004347748,1.42E-07,-21.4840974,-0.19236298,ACACB
ILMN_2409167,0.004347748,1.78E-07,20.7713648,0.213229008,ANXA2
ILMN_2178226,0.005507257,3.48E-07,-18.82532043,-0.211609775,
ILMN_1763666,0.005507257,4.51E-07,-18.1127765,-0.184968555,ALDH3B2
ILMN_1750324,0.006732587,8.42E-07,16.51773183,0.313485051,IGFBP5
ILMN_2132982,0.006732587,8.63E-07,16.45691363,0.267368614,IGFBP5
ILMN_2117171,0.006732587,9.66E-07,-16.18461188,-0.180129127,LMO4
ILMN_1819608,0.009140804,1.53E-06,-15.11861221,-0.138666296,ARRB1
ILMN_2388142,0.009140804,1.69E-06,-14.89830665,-0.129862389,CD99L2
ILMN_1806023,0.01165025,2.76E-06,13.84445667,0.190070847,JUN
ILMN_1764228,0.01165025,2.81E-06,-13.80680279,-0.198807161,DAB2
ILMN_1701643,0.01165025,2.99E-06,-13.67480702,-0.199289597,GDPD5
ILMN_1671731,0.01165025,3.52E-06,-13.34757899,-0.141275525,AVPI1
ILMN_1798804,0.01165025,3.65E-06,13.27551902,0.160725135,SRPK1
ILMN_1711899,0.01165025,3.98E-06,13.10034515,0.251229311,ANXA2
ILMN_1813270,0.01165025,4.45E-06,-12.88552931,-0.326388218,ELF5
ILMN_1708147,0.01165025,4.54E-06,12.84570945,0.119971801,TBPL1
ILMN_1757099,0.01165025,4.61E-06,-12.81524952,-0.133730328,PLEKHS1
ILMN_2363658,0.01165025,4.71E-06,12.77480233,0.196606778,PXDN
ILMN_2146761,0.01165025,4.78E-06,12.74808795,0.175471098,FABP5
ILMN_1813834,0.01165025,5.01E-06,12.65571106,0.170078008,PRMT6
ILMN_1675656,0.011935392,5.59E-06,-12.44957496,-0.120077077,PPFIBP2
ILMN_1714527,0.011935392,5.77E-06,12.3890505,0.151732657,VAMP3
ILMN_2289844,0.011935392,5.87E-06,-12.35860881,-0.268198995,
ILMN_1653133,0.012554454,6.43E-06,12.18940972,0.110706914,SH3D19
ILMN_1724493,0.013885061,7.40E-06,11.93442088,0.09819161,LYSMD2
ILMN_2337923,0.014093146,7.80E-06,11.83983628,0.122852777,TPD52L1
ILMN_1800787,0.014388616,8.26E-06,-11.73793879,-0.282384497,RFTN1
ILMN_2338038,0.015918188,9.70E-06,11.4545815,0.091746016,AK4
ILMN_1814213,0.015918188,9.97E-06,11.40761721,0.160494807,PQLC3
ILMN_2399893,0.015918188,1.03E-05,11.34633012,0.103189075,RPS24
ILMN_1713744,0.015918188,1.04E-05,-11.32783357,-0.139371595,
ILMN_1761159,0.016340964,1.12E-05,11.21449491,0.20627206,ESYT1
ILMN_1662795,0.016340964,1.14E-05,11.17934624,0.144410783,CA2
ILMN_1742456,0.016388978,1.18E-05,11.12520798,0.10540095,OSTF1
ILMN_2199389,0.016422366,1.21E-05,-11.07419807,-0.130982732,VIPR1
ILMN_1777644,0.016602507,1.28E-05,-10.98393824,-0.198544086,
ILMN_1705814,0.016602507,1.30E-05,-10.96017021,-0.187037415,KRT80
ILMN_1655312,0.016602507,1.33E-05,10.92188014,0.13426309,HPS5
ILMN_1777342,0.017912544,1.47E-05,-10.75451906,-0.130273214,PREX1
ILMN_1706434,0.018711067,1.58E-05,10.63167107,0.164398037,
ILMN_1715024,0.018711067,1.61E-05,-10.60382217,-0.09817451,LSS
ILMN_1703487,0.019330207,1.70E-05,-10.51328484,-0.175836342,LMO4
