Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
ILMN_1753101,9.65E-06,1.98E-10,-31.31970935,-0.445712137,VTCN1
ILMN_2128428,6.73E-05,3.54E-09,-22.57530518,-0.295911561,DAB2
ILMN_2289844,6.73E-05,4.13E-09,-22.18231338,-0.306220997,
ILMN_1813270,0.000113448,9.38E-09,-20.20209674,-0.374923481,ELF5
ILMN_1659189,0.000113448,1.16E-08,19.71261183,0.216087447,CARD19
ILMN_1782788,0.000131869,1.62E-08,18.97526806,0.208118234,YBX3
ILMN_1764228,0.000137604,1.97E-08,-18.55187765,-0.254147171,DAB2
ILMN_2231298,0.000162884,2.67E-08,-17.91900962,-0.176424569,SERHL2
ILMN_1703487,0.000272872,5.03E-08,-16.65773187,-0.211547772,LMO4
ILMN_1701643,0.000394746,8.59E-08,-15.65922684,-0.196444282,GDPD5
ILMN_1800787,0.000394746,1.06E-07,-15.28824476,-0.266664972,RFTN1
ILMN_2146761,0.000394746,1.11E-07,15.19613664,0.151264617,FABP5
ILMN_1682034,0.000394746,1.13E-07,15.16138353,0.311264811,HEY2
ILMN_2409167,0.000394746,1.17E-07,15.11390667,0.218878013,ANXA2
ILMN_2363658,0.000394746,1.33E-07,14.8836188,0.213231085,PXDN
ILMN_2411731,0.000394746,1.34E-07,14.87814203,0.131350331,HPS5
ILMN_1785330,0.000394746,1.38E-07,-14.82719712,-0.141264034,SH3BP4
ILMN_1706434,0.000909769,3.36E-07,13.36110328,0.180702354,
ILMN_1705116,0.000914608,3.59E-07,-13.25371375,-0.106927191,SLC22A23
ILMN_1776522,0.000914608,3.75E-07,13.18883259,0.169028204,SLC50A1
ILMN_2132982,0.000929604,4.00E-07,13.08851506,0.279219261,IGFBP5
ILMN_1819608,0.000994695,4.56E-07,-12.88866902,-0.133967237,ARRB1
ILMN_1795026,0.000994695,5.04E-07,12.7366109,0.187449592,FAM189B
ILMN_1783846,0.000994695,5.30E-07,-12.66376071,-0.16408619,RAPH1
ILMN_1777644,0.000994695,5.41E-07,-12.63265797,-0.166297334,
ILMN_1740466,0.000994695,5.42E-07,-12.62820113,-0.185440312,FAM46A
ILMN_1827037,0.000994695,5.78E-07,-12.53291012,-0.116619935,
ILMN_1807304,0.000994695,5.85E-07,12.51622367,0.102650069,MBNL1
ILMN_2400500,0.000994695,5.92E-07,12.49836265,0.238071976,CERS2
ILMN_1655312,0.000994695,6.20E-07,12.43009475,0.110041771,HPS5
ILMN_2234343,0.000994695,6.45E-07,12.3716331,0.095859386,ACP6
ILMN_1657409,0.000994695,6.62E-07,-12.33554951,-0.182693781,
ILMN_1714527,0.000994695,6.73E-07,12.31165661,0.145602415,VAMP3
ILMN_1674706,0.001028342,7.16E-07,12.22018946,0.166140614,MTHFD2
ILMN_1763144,0.001133647,8.24E-07,-12.02009607,-0.111416349,NEU1
ILMN_2234229,0.001133647,8.36E-07,11.99865636,0.173111936,PRMT6
ILMN_1693233,0.001134612,8.72E-07,-11.93927164,-0.106986489,KIAA0513
ILMN_2092756,0.001134612,9.09E-07,11.88068161,0.216090945,TMEM109
ILMN_2079285,0.001134612,9.33E-07,11.84335292,0.166218105,ATP5L
ILMN_2129505,0.001134612,9.50E-07,11.81925765,0.164110152,CYB561A3
ILMN_1733519,0.001134612,9.53E-07,-11.81395559,-0.150775603,HMGB3
ILMN_1763852,0.001262109,1.11E-06,-11.60629049,-0.218261791,ACACB
ILMN_1750324,0.001262109,1.11E-06,11.5980833,0.30006659,IGFBP5
ILMN_1740900,0.001262109,1.14E-06,-11.56809137,-0.129593011,BMP4
ILMN_1726108,0.00127478,1.18E-06,11.5211596,0.224557985,
ILMN_1664068,0.00127478,1.20E-06,-11.49343554,-0.139285894,ERGIC1
ILMN_1786789,0.001403338,1.36E-06,-11.32558948,-0.111282206,FAM102B
ILMN_1815308,0.001403338,1.38E-06,11.30523695,0.131473491,SDC1
ILMN_1763666,0.001416802,1.47E-06,-11.22385521,-0.173630039,ALDH3B2
ILMN_2199389,0.001416802,1.49E-06,-11.20668847,-0.118879525,VIPR1
ILMN_1711899,0.001416802,1.55E-06,11.1528859,0.244720986,ANXA2
ILMN_1801443,0.001416802,1.56E-06,11.14282781,0.173452456,TSKU
ILMN_1772521,0.001416802,1.58E-06,11.12387143,0.136355766,MTHFD1L
ILMN_1784333,0.001416802,1.63E-06,-11.08373372,-0.129128521,SECISBP2L
ILMN_1713744,0.001416802,1.63E-06,-11.08324661,-0.140639117,
ILMN_1794492,0.001416802,1.65E-06,-11.06640434,-0.119273983,HOXC6
ILMN_2117171,0.001416802,1.69E-06,-11.03436098,-0.207396983,LMO4
ILMN_1771800,0.001416802,1.70E-06,-11.02753917,-0.190316563,PRKCA
ILMN_1808226,0.001416802,1.71E-06,-11.01758698,-0.161273071,RGS16
ILMN_1813834,0.001440963,1.77E-06,10.97324766,0.161095089,PRMT6
ILMN_1806603,0.001481122,1.85E-06,-10.91559683,-0.161885115,MESP1
ILMN_2405521,0.001536496,2.00E-06,10.81799033,0.125533456,
ILMN_2104830,0.001536496,2.00E-06,-10.8152542,-0.13457832,ACP2
ILMN_1713266,0.001536496,2.02E-06,-10.79935003,-0.172392579,FAM46C
ILMN_1741954,0.001536496,2.05E-06,-10.78532449,-0.091583882,SMYD3
ILMN_1752932,0.00167213,2.26E-06,-10.65686513,-0.161458907,MPZL2
ILMN_2113490,0.001829571,2.51E-06,-10.52320339,-0.15619981,NTN4
ILMN_2322842,0.001853546,2.58E-06,10.48802265,0.096950045,PPHLN1
ILMN_1781752,0.001857822,2.69E-06,-10.43787566,-0.111917399,CLEC16A
ILMN_1761159,0.001857822,2.71E-06,10.42713977,0.236504316,ESYT1
ILMN_1694106,0.001857822,2.80E-06,-10.38501193,-0.11110465,GPD1L
ILMN_1683148,0.001857822,2.84E-06,-10.3705399,-0.13028519,PRICKLE2
ILMN_1880983,0.001857822,2.85E-06,-10.36242756,-0.193784146,CDYL2
ILMN_1798804,0.001857822,2.86E-06,10.35942266,0.121166974,SRPK1
ILMN_1680996,0.001857822,2.88E-06,10.34971392,0.114782334,ALOX5
ILMN_1907649,0.001857822,2.89E-06,10.34557881,0.102589008,
ILMN_1859946,0.001966401,3.10E-06,10.25874183,0.136605102,UHMK1
ILMN_1670807,0.002015234,3.22E-06,-10.21247763,-0.098523372,FAM84B
ILMN_1667050,0.00204628,3.40E-06,-10.14643705,-0.127135522,PRPS1
ILMN_1721022,0.00204628,3.41E-06,10.14077422,0.121288271,SHC1
ILMN_1715864,0.00204628,3.43E-06,-10.13631423,-0.10770728,NHS
ILMN_1755937,0.00204628,3.44E-06,10.13220337,0.08294282,ANXA2
ILMN_1663080,0.002071858,3.55E-06,10.09220773,0.170416068,LFNG
ILMN_1732296,0.002071858,3.57E-06,-10.0875442,-0.177541455,ID3
ILMN_1757099,0.002117704,3.69E-06,-10.0464569,-0.121506826,PLEKHS1
ILMN_1657612,0.002167029,3.82E-06,10.00430106,0.088384302,
ILMN_1653342,0.002194604,3.91E-06,9.975001361,0.136570362,DUS1L
ILMN_2388142,0.002205624,4.03E-06,-9.940551595,-0.136098006,CD99L2
ILMN_1692826,0.002205624,4.06E-06,9.929275141,0.10718756,
ILMN_1714965,0.002205624,4.08E-06,9.923427661,0.105943612,NFKB1
ILMN_2117223,0.002205624,4.11E-06,9.914757328,0.098331861,PTBP3
ILMN_1800390,0.002371792,4.47E-06,9.814683354,0.095749879,ZNF511
ILMN_1804090,0.00237594,4.59E-06,9.782380689,0.14797504,SLC25A10
ILMN_1675266,0.00237594,4.62E-06,9.776103788,0.080511151,NAGPA
ILMN_1788874,0.00237594,4.63E-06,9.774406706,0.199941119,SERPINA3
ILMN_1771728,0.002380604,4.75E-06,-9.743645888,-0.081502288,PXMP4
ILMN_1801442,0.002380604,4.77E-06,-9.737205127,-0.198106194,KRT81
ILMN_1730907,0.002380604,4.83E-06,9.722565,0.095795121,ZFAND1
ILMN_1725130,0.002380604,4.91E-06,-9.703062284,-0.105119364,FAM50A
ILMN_2384241,0.002380604,4.94E-06,9.696609685,0.095388827,TGFBR2
ILMN_2355033,0.002380604,4.97E-06,-9.689185032,-0.096217872,KIAA1147
ILMN_1654441,0.002380604,5.06E-06,-9.667298897,-0.133384321,OAT
ILMN_1667748,0.002380604,5.09E-06,9.660728457,0.098296422,ANKRD33
ILMN_2384056,0.002380604,5.10E-06,9.658003927,0.109040023,GPER1
ILMN_1699208,0.002380604,5.12E-06,9.653782289,0.118655822,NAP1L1
