Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
226694_at,0.112857482,2.96E-06,-35.84574133,-0.660804904,PALM2-AKAP2///AKAP2
201427_s_at,0.112857482,6.63E-06,-29.39547977,-0.794540012,SEPP1
209160_at,0.112857482,7.18E-06,28.82696004,0.491974249,AKR1C3
203372_s_at,0.112857482,9.05E-06,-27.23090805,-0.494861476,SOCS2
238116_at,0.112857482,2.04E-05,-22.28047462,-0.426160113,DYNLRB2
205871_at,0.112857482,2.14E-05,-22.01521765,-0.508043812,PLGLB1///PLGLB2
226576_at,0.112857482,2.20E-05,-21.8766092,-0.382258991,ARHGAP26
201150_s_at,0.112857482,2.46E-05,-21.27948633,-0.353952518,TIMP3
237083_at,0.112857482,2.48E-05,-21.24340888,-0.393028092,
207655_s_at,0.112857482,2.75E-05,-20.7056058,-0.56628555,BLNK
203665_at,0.112857482,2.90E-05,20.43030344,0.386810769,HMOX1
1554309_at,0.112857482,3.26E-05,19.84847087,0.427803094,EIF4G3
213839_at,0.112857482,3.83E-05,-19.07672909,-0.331792521,CLMN
209699_x_at,0.112857482,3.86E-05,19.04030485,0.344415559,LOC101930400///AKR1C2
219274_at,0.112857482,4.02E-05,-18.84878878,-0.349797889,TSPAN12
217989_at,0.112857482,4.28E-05,-18.56150836,-0.551877447,HSD17B11
232843_s_at,0.112857482,4.60E-05,-18.22506739,-0.323333612,DOCK8
235273_at,0.112857482,4.65E-05,-18.17639852,-0.321370044,DYX1C1
217678_at,0.112857482,4.74E-05,18.09365574,0.303567903,SLC7A11
223235_s_at,0.112857482,4.85E-05,-17.9906186,-0.415418557,SMOC2
204151_x_at,0.112857482,4.98E-05,17.87594315,0.318671865,AKR1C1
202274_at,0.112857482,5.09E-05,17.77753771,0.325590734,ACTG2
205380_at,0.112857482,5.61E-05,-17.35722691,-0.409592284,PDZK1
209921_at,0.112857482,5.79E-05,17.21603801,0.29564594,SLC7A11
63825_at,0.112857482,5.96E-05,-17.09445918,-0.323734439,ABHD2
213142_x_at,0.112857482,6.10E-05,-16.99877671,-0.332135735,GSAP
1555893_at,0.112857482,6.16E-05,-16.95551291,-0.401088213,
215123_at,0.112857482,6.31E-05,16.85658346,0.36993899,NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3
224146_s_at,0.112857482,6.75E-05,-16.5758275,-0.625637543,ABCC11
238174_at,0.112857482,6.92E-05,-16.47435175,-0.313279579,FBXL17
211653_x_at,0.112857482,7.08E-05,16.38150135,0.358058898,LOC101930400///AKR1C2
207430_s_at,0.112857482,7.13E-05,-16.35363829,-0.44017688,MSMB
227337_at,0.112857482,7.29E-05,16.26095925,0.39283168,ANKRD37
214156_at,0.112857482,7.35E-05,-16.2266089,-0.389743029,MYRIP
241652_x_at,0.112857482,7.39E-05,-16.20989657,-0.420460616,LIN7A
214397_at,0.112857482,7.43E-05,16.18507954,0.325011535,MBD2
