Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
201427_s_at,0.057869268,1.46E-06,-31.97664754,-0.852130001,SEPP1
226694_at,0.057869268,2.12E-06,-29.47131778,-0.629831876,PALM2-AKAP2///AKAP2
1555854_at,0.069769554,4.24E-06,25.30907809,0.745147558,LOC101930400///AKR1C2///AKR1C1
209160_at,0.069769554,5.10E-06,24.29462816,0.573172537,AKR1C3
203372_s_at,0.072124428,8.79E-06,-21.5565589,-0.463778487,SOCS2
205934_at,0.072124428,1.00E-05,-20.94866774,-0.411703908,PLCL1
203665_at,0.072124428,1.06E-05,20.67662745,0.434092331,HMOX1
210297_s_at,0.072124428,1.34E-05,-19.64758736,-0.424152044,MSMB
206561_s_at,0.072124428,1.85E-05,18.2962335,0.43625574,AKR1B10
202274_at,0.072124428,1.86E-05,18.28257086,0.386079847,ACTG2
232656_at,0.072124428,2.07E-05,-17.83878987,-0.553169469,
213839_at,0.072124428,2.33E-05,-17.38690106,-0.345642212,CLMN
238476_at,0.072124428,2.33E-05,-17.38294796,-0.35384073,CREBRF
207528_s_at,0.072124428,2.34E-05,17.36693565,0.39451901,SLC7A11
209921_at,0.072124428,2.50E-05,17.12589507,0.342724717,SLC7A11
219274_at,0.072124428,2.53E-05,-17.07074047,-0.34699824,TSPAN12
211506_s_at,0.072124428,2.55E-05,17.05057194,0.359700726,CXCL8
209699_x_at,0.072124428,2.61E-05,16.95726819,0.385850122,LOC101930400///AKR1C2
211653_x_at,0.072124428,2.65E-05,16.89836828,0.40494831,LOC101930400///AKR1C2
205352_at,0.072124428,2.69E-05,-16.83690163,-0.339152624,SERPINI1
238116_at,0.072124428,2.77E-05,-16.7343035,-0.349796861,DYNLRB2
217678_at,0.073692567,2.97E-05,16.4842123,0.348522502,SLC7A11
229242_at,0.074506553,3.13E-05,-16.28310301,-0.392422969,TNFSF15
232843_s_at,0.080270453,3.60E-05,-15.79273206,-0.304131688,DOCK8
204151_x_at,0.080270453,3.80E-05,15.60210754,0.360722084,AKR1C1
241652_x_at,0.080270453,3.82E-05,-15.58712669,-0.385698488,LIN7A
213106_at,0.087152947,4.30E-05,-15.17763117,-0.497376738,ATP8A1
202411_at,0.087909212,4.50E-05,15.02674812,0.418498085,IFI27
223695_s_at,0.093922498,4.98E-05,-14.692575,-0.287982964,ARSD
201150_s_at,0.096015483,5.46E-05,-14.39693825,-0.282033908,TIMP3
223179_at,0.096015483,5.47E-05,-14.38781865,-0.331726054,YPEL3
241804_at,0.096015483,5.67E-05,-14.2760008,-0.375572596,LOC102724275
216594_x_at,0.096015483,5.80E-05,14.20672239,0.354845917,AKR1C1
222307_at,0.102437845,6.37E-05,-13.91074944,-0.286481737,PDCD4-AS1
204298_s_at,0.107899136,6.98E-05,13.62918768,0.278302247,LOX
214415_at,0.107899136,7.27E-05,-13.50904621,-0.365688813,PLGLB1///PLGLB2
229810_at,0.107899136,7.30E-05,-13.49410783,-0.399283155,RSPH3
213375_s_at,0.110226778,7.66E-05,-13.35042558,-0.4162425,N4BP2L1
230653_at,0.110405405,7.96E-05,-13.23760337,-0.315498656,
224694_at,0.110405405,8.29E-05,-13.11648367,-0.39399981,ANTXR1
