Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
226694_at,0.000988009,1.81E-08,-32.44788841,-0.64531839,PALM2-AKAP2///AKAP2
201427_s_at,0.001693127,6.19E-08,-26.84094719,-0.823335006,SEPP1
203372_s_at,0.002126777,1.17E-07,-24.34078441,-0.479319981,SOCS2
219274_at,0.002892536,2.58E-07,-21.53154786,-0.348398064,TSPAN12
213839_at,0.002892536,2.65E-07,-21.44663045,-0.338717366,CLMN
202411_at,0.003672079,4.03E-07,20.09166593,0.421984208,IFI27
232843_s_at,0.004184417,5.88E-07,-18.94528215,-0.31373265,DOCK8
213106_at,0.004184417,6.47E-07,-18.66690968,-0.489690429,ATP8A1
222307_at,0.004184417,7.27E-07,-18.33109367,-0.285398527,PDCD4-AS1
203665_at,0.004184417,7.65E-07,18.18545416,0.41045155,HMOX1
233413_at,0.004972691,1.07E-06,-17.26532311,-0.284138032,
223695_s_at,0.004972691,1.09E-06,-17.20712591,-0.27900248,ARSD
209699_x_at,0.005435811,1.41E-06,16.5265108,0.365132841,LOC101930400///AKR1C2
209160_at,0.005435811,1.55E-06,16.29651461,0.532573393,AKR1C3
223179_at,0.005435811,1.55E-06,-16.2846951,-0.332667897,YPEL3
241652_x_at,0.005435811,1.59E-06,-16.22410677,-0.403079552,LIN7A
213375_s_at,0.005779089,1.80E-06,-15.91781469,-0.419732004,N4BP2L1
211653_x_at,0.006169283,2.03E-06,15.61550514,0.381503604,LOC101930400///AKR1C2
235122_at,0.006714022,2.33E-06,-15.2798562,-0.439836832,HIVEP3
204151_x_at,0.00686521,2.54E-06,15.07954271,0.339696974,AKR1C1
1555893_at,0.00686521,2.64E-06,-14.98944571,-0.404183156,
217678_at,0.007301075,2.94E-06,14.73729234,0.326045203,SLC7A11
217989_at,0.007721878,3.25E-06,-14.50645493,-0.546761294,HSD17B11
209921_at,0.007834894,3.44E-06,14.376841,0.319185329,SLC7A11
220038_at,0.007853081,3.59E-06,-14.27962337,-0.296170411,C8orf44-SGK3///SGK3
204341_at,0.00792483,4.59E-06,13.74043053,0.218813437,TRIM16
210297_s_at,0.00792483,4.66E-06,-13.70693574,-0.415863847,MSMB
202274_at,0.00792483,4.76E-06,13.66144679,0.35583529,ACTG2
216594_x_at,0.00792483,4.76E-06,13.65938624,0.331851962,AKR1C1
225337_at,0.00792483,4.80E-06,-13.64368215,-0.267100996,ABHD2
238174_at,0.00792483,4.96E-06,-13.57033889,-0.294448985,FBXL17
230403_at,0.00792483,5.01E-06,-13.54916461,-0.238092003,RFX3
230653_at,0.00792483,5.07E-06,-13.52480595,-0.300484394,
223235_s_at,0.00792483,5.11E-06,-13.50782985,-0.403470058,SMOC2
224146_s_at,0.00792483,5.21E-06,-13.46427495,-0.596815057,ABCC11
203373_at,0.00792483,5.22E-06,-13.46297812,-0.313847593,SOCS2
229450_at,0.00811824,5.73E-06,13.26512942,0.665950635,IFIT3
239650_at,0.00811824,5.77E-06,-13.25222866,-0.285374738,NCKAP5
63825_at,0.00811824,5.89E-06,-13.20670661,-0.315721596,ABHD2
232231_at,0.00811824,5.94E-06,-13.19046158,-0.242808198,RUNX2
221834_at,0.008224827,6.17E-06,-13.11201111,-0.230265463,LOC100507577///LONP2
201147_s_at,0.008284753,6.36E-06,-13.04715501,-0.244142768,TIMP3
202869_at,0.008340201,6.56E-06,12.98497409,0.358571833,OAS1
214415_at,0.008679889,6.99E-06,-12.856334,-0.344334784,PLGLB1///PLGLB2
220414_at,0.009251374,7.76E-06,-12.64489585,-0.264912644,CALML5
238116_at,0.009251374,7.99E-06,-12.58562067,-0.387978487,DYNLRB2
237083_at,0.009251374,8.37E-06,-12.4923956,-0.370085426,
203710_at,0.009251374,8.41E-06,-12.48375117,-0.368652781,ITPR1
213703_at,0.009251374,8.71E-06,-12.41384153,-0.327823894,LINC00342
240027_at,0.009251374,8.79E-06,-12.39629088,-0.332560355,LIN7A
207996_s_at,0.009251374,8.84E-06,-12.38552729,-0.317882801,LDLRAD4
202663_at,0.009251374,9.00E-06,-12.35013095,-0.186807008,WIPF1
205352_at,0.009251374,9.11E-06,-12.32556864,-0.347746939,SERPINI1
239430_at,0.009251374,9.19E-06,12.31012009,0.320485886,IGFL1
239150_at,0.009251374,9.37E-06,-12.27117096,-0.336098005,SNTN
205871_at,0.009251374,9.50E-06,-12.24512,-0.494960783,PLGLB1///PLGLB2
212810_s_at,0.009251374,9.64E-06,-12.21507396,-0.276153108,SLC1A4
206561_s_at,0.009600515,1.02E-05,12.10984739,0.396836907,AKR1B10
203153_at,0.010594944,1.14E-05,11.88906095,0.575051692,IFIT1
205552_s_at,0.010702321,1.20E-05,11.79314298,0.480124947,OAS1
229072_at,0.010702321,1.21E-05,-11.77902552,-0.271839556,RAB30
208305_at,0.010702321,1.23E-05,-11.7531946,-0.230899566,PGR
241804_at,0.010702321,1.23E-05,-11.74660103,-0.345325004,LOC102724275
226022_at,0.010999207,1.29E-05,-11.66615455,-0.256510548,SASH1
232297_at,0.011116315,1.33E-05,-11.60625354,-0.235537659,KLHL5
229222_at,0.011116315,1.34E-05,-11.58944752,-0.232115533,ACSS3
221874_at,0.011367257,1.39E-05,-11.52055921,-0.272000669,KIAA1324
229590_at,0.011652065,1.45E-05,-11.44802336,-0.173822768,SNORD68///RPL13
205253_at,0.013370815,1.69E-05,-11.17286442,-0.189188594,PBX1
201150_s_at,0.013396177,1.72E-05,-11.14378408,-0.317993213,TIMP3
87100_at,0.013883854,1.82E-05,-11.03697234,-0.420398029,ABHD2
238625_at,0.013883854,1.83E-05,-11.03028436,-0.467637467,C1orf168
205780_at,0.013916255,1.86E-05,-11.00182345,-0.180381558,BIK
210650_s_at,0.014877475,2.01E-05,-10.86091084,-0.18140589,PCLO
203685_at,0.014989953,2.09E-05,-10.79209239,-0.182028305,BCL2
207655_s_at,0.014989953,2.11E-05,-10.78046279,-0.619427271,BLNK
220310_at,0.014989953,2.14E-05,-10.75699229,-0.236977484,TUBAL3
203192_at,0.014989953,2.14E-05,10.75276496,0.163270038,ABCB6
227475_at,0.014989953,2.17E-05,-10.73365917,-0.249472316,FOXQ1
215440_s_at,0.014989953,2.20E-05,-10.70391263,-0.172839152,BEX4
226382_at,0.014989953,2.22E-05,-10.69150435,-0.212660514,
228490_at,0.015017598,2.34E-05,-10.60293817,-0.263463297,ABHD2
223713_at,0.015017598,2.34E-05,-10.59944415,-0.173580294,RSPH3
1561418_at,0.015017598,2.35E-05,-10.59444478,-0.262526163,LOC101928245
217276_x_at,0.015017598,2.36E-05,-10.58825731,-0.228503105,SERHL2
206587_at,0.015017598,2.38E-05,-10.57041465,-0.248686578,CCT6B
235273_at,0.015017598,2.39E-05,-10.56625327,-0.291431236,DYX1C1
201149_s_at,0.015097916,2.43E-05,-10.53779746,-0.224036833,TIMP3
214243_s_at,0.015106525,2.46E-05,-10.5176899,-0.268095025,SERHL2///SERHL
229649_at,0.015314543,2.56E-05,-10.44674008,-0.235995197,NRXN3
210108_at,0.015314543,2.58E-05,-10.43917581,-0.246267515,CACNA1D
205566_at,0.015314543,2.58E-05,-10.43869786,-0.155058534,ABHD2
223268_at,0.015790439,2.73E-05,-10.34428255,-0.237839451,C11orf54
231473_at,0.015790439,2.76E-05,10.32666209,0.178300037,LOC100506530
1555520_at,0.015790439,2.76E-05,10.32174126,0.248911286,PTCH1
205756_s_at,0.015790439,2.78E-05,-10.30969743,-0.185611849,F8
204217_s_at,0.015790439,2.82E-05,-10.28550774,-0.19872593,RTN2
34408_at,0.015790439,2.84E-05,-10.27668314,-0.184382985,RTN2
242761_s_at,0.015790439,2.90E-05,-10.24316375,-0.165047006,ZNF420
231472_at,0.015790439,2.92E-05,-10.23057913,-0.19889977,FBXO15
227359_at,0.015790439,2.94E-05,-10.22091818,-0.170867558,OSCP1
212148_at,0.015790439,2.95E-05,-10.21595379,-0.152342297,PBX1
229130_at,0.015809134,3.00E-05,-10.18604435,-0.276828725,
203914_x_at,0.015809134,3.05E-05,-10.15988675,-0.26200543,HPGD
227379_at,0.015809134,3.06E-05,-10.15171307,-0.229875517,MBOAT1
230075_at,0.015809134,3.06E-05,-10.15076457,-0.261968856,RAB39B
239639_at,0.015954274,3.15E-05,-10.1036738,-0.23338004,
218559_s_at,0.015954274,3.17E-05,-10.09708743,-0.179725972,MAFB
230493_at,0.015954274,3.20E-05,-10.08159318,-0.306488528,SHISA2
227425_at,0.015954274,3.23E-05,-10.06722613,-0.264089401,REPS2
230551_at,0.015954274,3.25E-05,-10.05619034,-0.215851891,KSR2
212811_x_at,0.015954274,3.27E-05,-10.04600239,-0.186582883,SLC1A4
224694_at,0.016339969,3.40E-05,-9.983333146,-0.438645495,ANTXR1
244571_s_at,0.016339969,3.41E-05,-9.978655403,-0.350800508,TTC12
1554919_s_at,0.016597066,3.49E-05,-9.939416936,-0.162396682,CFAP69
203757_s_at,0.017720058,3.76E-05,-9.820784601,-0.230159175,CEACAM6
218400_at,0.018279478,3.91E-05,9.757824426,0.153623343,OAS3
235889_at,0.018365551,3.96E-05,-9.7369388,-0.236327934,RSPH3
230131_x_at,0.018695143,4.07E-05,-9.695586552,-0.18567946,ARSD
1553180_at,0.018790723,4.12E-05,-9.674345975,-0.316695569,ADAMTS19
212242_at,0.018790723,4.16E-05,9.661383914,0.209642545,TUBA4A
225334_at,0.018894041,4.22E-05,-9.639889788,-0.231775443,BORCS7
203882_at,0.019020277,4.30E-05,9.610584469,0.201572682,IRF9
241507_x_at,0.019020277,4.31E-05,-9.604061602,-0.33593272,
229851_s_at,0.019087501,4.36E-05,-9.586035058,-0.213599782,C11orf54
221218_s_at,0.019208271,4.44E-05,-9.557588553,-0.236818621,TPK1
