ID,LogConc,LogFC,P.val,adj.p.val
mir-320a,-2.0319554566,11.9183434899,0,0
let-7b,-1.5287258485,11.607857111,0,0
mir-3969,1.3665329339,9.3994801195,0,0
mir-96,1.2109512135,12.6403101434,0,0
let-7i,-1.1149891847,12.3571039072,0,0
mir-30e,-1.104134953,12.2900949481,0,0
mir-140,-0.9385471766,14.4402532251,0,0
mir-20a,-0.8351700868,11.5602118496,0,0
mir-423,-0.77007176,13.3113150459,0,0
mir-484,0.6641915224,15.952891778,0,0
mir-30d,-0.6463859031,14.7068812709,0,0
mir-4454,0.6322541804,12.0111501469,0,0
mir-339,-0.5388212386,11.4425266164,0,0
mir-3968,0.5372165197,11.0991658495,0,0
mir-17,-0.4767445454,11.7702497563,0,0
mir-186,-0.4432137532,12.9547479726,0,0
mir-151a,-0.4082940779,12.4945647215,0,0
mir-223,0.4021051391,14.3633785493,0,0
mir-150,-0.3877081174,13.8228601704,0,0
mir-106b,-0.386525079,12.74116032,0,0
mir-22,-0.3716497924,14.2427806119,0,0
mir-15b,0.3480437721,12.5772358133,0,0
mir-93,-0.3006583717,12.9899339525,0,0
mir-486,0.2808543909,13.6493876027,0,0
mir-425,-0.2194211616,14.1049745018,0,0
mir-142,-0.2009013714,13.3363628159,0,0
mir-191,-0.1359992451,17.7166908581,0,0
mir-100,0.1144367997,12.8891962339,0,0
mir-451a,0.0619049881,20.1471291488,0,0
mir-148a,-0.5354347887,10.0746132264,3.48393338851088E-247,8.64015480350698E-246
mir-146a,-0.8463416188,9.1938625511,2.44446467024354E-217,5.8667152085845E-216
mir-19a,-1.0802963431,8.1768430181,6.30794445445995E-197,1.46659708566194E-195
mir-21,-0.3264481477,11.4603648925,2.69310380514164E-195,6.07172494250115E-194
mir-106a,-0.7580839241,9.0571601254,3.80826225452288E-191,8.333373874603E-190
mir-363,-0.1318631216,12.9126187308,1.01801670397128E-189,2.16401265072752E-188
mir-7977,1.3268291438,7.0410215379,3.29259957754876E-144,6.80470579360077E-143
let-7d,-0.2472527893,11.37761764,5.26826781207462E-144,1.05934898707663E-142
mir-99b,-0.2555950804,11.1764195237,1.60953876912351E-102,3.15130748481024E-101
mir-148b,-0.2589838201,10.8329536813,6.23349993115073E-102,1.18915998686568E-100
mir-20b,-0.4203245881,9.770058781,9.577497806598E-101,1.78141459202723E-99
mir-192,-0.1801212094,11.8931471471,1.097670910972E-98,1.99187111649553E-97
mir-576,-0.3097421607,9.4827673288,2.18548215415444E-96,3.87142553021644E-95
mir-7975,1.5560166536,6.1536632277,1.15128758374564E-95,1.9919952611785E-94
mir-652,-0.171075182,11.6207384505,1.5503062905828E-94,2.62142700044001E-93
mir-3613,-0.7106774751,8.4403673162,3.35807821752686E-90,5.55202265297774E-89
mir-4326,-0.5660123441,8.6132850593,1.84258652511756E-75,2.98018342323362E-74
mir-5010,-0.4680545766,8.5203557585,4.9966863815663E-69,7.90964822954324E-68
mir-210,-0.7890644646,7.9483337458,7.46990345168724E-66,1.15783503501152E-64
mir-502,-0.3710920619,9.634717471,5.70779600078955E-65,8.66653107058658E-64
mir-23a,0.2195516353,11.325786026,2.06430461389072E-57,3.07168526546939E-56
mir-3615,-0.0874063128,11.3461648215,9.36820929926312E-56,1.36665641542191E-54
mir-361,-0.1991735125,10.6413406749,1.90140438980366E-52,2.72047089618063E-51
mir-501,-0.1138051769,11.5206123922,7.04189290672654E-49,9.88522325019726E-48
mir-589,-0.7333178721,7.478516316,7.63829813039369E-49,1.0523877424098E-47
mir-6777,0.9194503542,6.7238723546,7.92282898955792E-49,1.07174268513293E-47
mir-625,-0.4125174534,8.8275384662,1.65414048455759E-43,2.19764378662651E-42
mir-664a,-0.3320934863,8.8604541333,5.14913336831561E-42,6.7209740807488E-41
mir-1299,-2.7919307459,4.1619134021,1.8915393003718E-39,2.4263883439252E-38
mir-331,-0.1338441076,10.9012505088,4.96354175576948E-39,6.25911028185168E-38
mir-660,-0.543805616,7.5878571129,6.08872388734485E-39,7.55001762030761E-38
mir-494,-0.8265663987,6.8127863434,1.83534917505081E-38,2.2385242397341E-37
mir-7976,0.3724459779,9.0801084949,5.50130598609979E-38,6.60156718331975E-37
mir-378c,-0.8814428265,6.7927805657,1.17837568115145E-37,1.39160556631219E-36
mir-342,0.0130874987,12.9426108324,1.76040887236123E-34,2.04647531411993E-33
mir-29a,-0.3551482506,8.6351202046,9.1570630655359E-32,1.04813152627057E-30
mir-296,0.4411477911,8.1198901312,7.08733525462193E-31,7.98935974157381E-30
mir-3940,0.3610940472,8.5898159883,8.35070180128447E-31,9.27301811963529E-30
mir-125a,0.1557592327,11.1631955551,5.06394145255734E-27,5.54054770691568E-26
